Manufacturer,Model,Vehicle_type,Engine_size,Horsepower,Wheelbase,Width,Length,Curb_weight,Fuel_capacity,Fuel_efficiency,Latest_Launch,Power_perf_factor
Nissan,Altima,Passenger,2.4,155,103.1,69.1,183.5,3.012,15.9,25,08-02-2011,63.31372783
Nissan,Maxima,Passenger,3,222,108.3,70.3,190.5,3.294,18.5,25,05-06-2011,89.42782031
Nissan,Quest,Car,3.3,170,112.2,74.9,194.8,3.991,20,21,03-07-2011,71.17166413
Nissan,Pathfinder,Car,3.3,170,106.3,71.7,182.6,3.947,21,19,9/25/2011,72.29035508
Nissan,Xterra,Car,3.3,170,104.3,70.4,178,3.821,19.4,18,1/24/2011,69.78294434
Nissan,Frontier,Car,3.3,170,116.1,66.5,196.1,3.217,19.4,18,8/27/2011,67.88927059
Oldsmobile,Cutlass,Passenger,3.1,150,107,69.4,192,3.102,15.2,25,5/31/2011,60.86161155
Oldsmobile,Intrigue,Passenger,3.5,215,109,73.6,195.9,3.455,18,,04-01-2011,86.27252291
Oldsmobile,Alero,Passenger,2.4,150,107,70.1,186.7,2.958,15,27,10/20/2009,60.72744693
Oldsmobile,Aurora,Passenger,4,250,113.8,74.4,205.4,3.967,18.5,22,2/18/2011,103.4416926
Oldsmobile,Bravada,Car,4.3,190,107,67.8,181.2,4.068,17.5,19,9/21/2011,80.51167259
Oldsmobile,Silhouette,Car,3.4,185,120,72.2,201.4,3.948,25,22,6/25/2011,76.09657042
Plymouth,Neon,Passenger,2,132,105,74.4,174.4,2.559,12.5,29,4/26/2011,52.08489875
Plymouth,Breeze,Passenger,2,132,108,71,186.3,2.942,16,27,11/14/2011,53.41189767
Plymouth,Voyager,Car,2.4,150,113.3,76.8,186.3,3.528,20,24,4/24/2011,60.95118512
Plymouth,Prowler,Passenger,3.5,253,113.3,76.3,165.4,2.85,12,21,6/27/2012,106.9844563
Pontiac,Sunfire,Passenger,2.4,150,104.1,68.4,181.9,2.906,15,27,1/25/2012,62.0158703
Pontiac,Grand Am,Passenger,3.4,175,107,70.4,186.3,3.091,15.2,25,11/26/2012,70.38973726
Pontiac,Firebird,Passenger,3.8,200,101.1,74.5,193.4,3.492,16.8,25,6/16/2012,81.49272616
Pontiac,Grand Prix,Passenger,3.8,195,110.5,72.7,196.5,3.396,18,25,10/15/2012,78.31816813
Pontiac,Bonneville,Passenger,3.8,205,112.2,72.6,202.5,3.59,17.5,24,5/18/2011,82.6613556
Pontiac,Montana,Car,3.4,185,120,72.7,201.3,3.942,25,23,7/22/2012,76.20843952
Porsche,Boxter,Passenger,2.7,217,95.2,70.1,171,2.778,17,22,2/19/2012,93.4373307
Porsche,Carrera Coupe,Passenger,3.4,300,92.6,69.5,174.5,3.032,17,21,12/21/2012,134.3909754
Porsche,Carrera Cabrio,Passenger,3.4,300,92.6,69.5,174.5,3.075,17,23,07-11-2011,135.9147096
Saab,05-Sep,Passenger,2.3,170,106.4,70.6,189.2,3.28,18.5,23,11-09-2012,73.50377819
Saab,03-Sep,Passenger,2,185,102.6,67.4,182.2,2.99,16.9,23,06-12-2011,76.02304771
Saturn,SL,Passenger,1.9,100,102.4,66.4,176.9,2.332,12.1,33,8/16/2012,39.98642475
Saturn,SC,Passenger,1.9,100,102.4,66.4,180,2.367,12.1,33,3/16/2011,40.70007242
Saturn,SW,Passenger,1.9,124,102.4,66.4,176.9,2.452,12.1,31,1/15/2011,49.86577367
Saturn,LW,Passenger,2.2,137,106.5,69,190.4,3.075,13.1,27,08-05-2011,56.29524304
Saturn,LS,Passenger,2.2,137,106.5,69,190.4,2.91,13.1,28,12-04-2012,54.81972825
Subaru,Outback,Passenger,2.5,165,103.5,67.5,185.8,3.415,16.9,25,07-07-2011,67.7659076
Subaru,Forester,Car,2.5,165,99.4,68.3,175.2,3.125,15.9,24,09-10-2012,66.76294331
Toyota,Corolla,Passenger,1.8,120,97,66.7,174,2.42,13.2,33,04-11-2011,47.96897242
Toyota,Camry,Passenger,2.2,133,105.2,70.1,188.5,2.998,18.5,27,02-10-2011,54.37241965
Toyota,Avalon,Passenger,3,210,107.1,71.7,191.9,3.417,18.5,26,8/31/2011,84.91189826
Toyota,Celica,Passenger,1.8,140,102.4,68.3,170.5,2.425,14.5,31,12/29/2012,56.49603034
Toyota,Tacoma,Car,2.4,142,103.3,66.5,178.7,2.58,15.1,23,08-01-2011,55.29711658
Toyota,Sienna,Car,3,194,114.2,73.4,193.5,3.759,20.9,22,10-05-2012,78.02721947
Toyota,RAV4,Car,2,127,94.9,66.7,163.8,2.668,15.3,27,05-06-2011,51.95510887
Toyota,4Runner,Car,2.7,150,105.3,66.5,183.3,3.44,18.5,23,03-07-2011,62.35557713
Toyota,Land Cruiser,Car,4.7,230,112.2,76.4,192.5,5.115,25.4,15,9/25/2011,102.5289842
Volkswagen,Golf,Passenger,2,115,98.9,68.3,163.3,2.767,14.5,26,1/24/2011,46.94387676
